,fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,t0,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
497,515770,摩根MSCIAETF,-,0.20,0.15,0.05,300.0,上投摩根,https://www.cifm.com/fund/515770/,Y,N,,,7273,,0.77,0.00,1.064,1210.24,2024-04-30,14:58:44,-0.37,-,23:50:03,-,1.0634,2024-04-30,中国A股,-,2024-04-29,0,0,-,-
498,515790,光伏ETF,-,0.60,0.50,0.10,200.0,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/515790/index.html,Y,N,,,1176149,,93.27,1.16,0.793,34762.68,2024-04-30,15:00:00,-2.34,0.7927,23:50:03,0.04,0.7927,2024-04-30,光伏产业,-2.40,2024-04-30,0,0,-,-
499,515800,800ETF,000906,0.20,0.15,0.05,400.0,汇添富,https://www.99fund.com/main/products/pofund/515800/fundgk.shtml,Y,N,,,752569,,68.86,0.35,0.915,7840.95,2024-04-30,14:59:23,-0.54,0.9142,23:50:03,0.04,0.9146,2024-04-30,中证800,-0.57,2024-04-30,0,0,-,-
500,515810,中证800ETF,000906,0.20,0.15,0.05,300.0,易方达,https://www.efunds.com.cn/fund/515810.shtml,Y,N,,,18591,,2.13,0.00,1.145,1644.21,2024-04-30,14:54:35,-0.35,1.1435,23:50:03,0.09,1.1440,2024-04-30,中证800,-0.57,2024-04-30,0,0,-,-
501,515850,券商指数ETF,399975,0.60,0.50,0.10,50.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/515850/index.html,Y,N,,,21079,,2.26,0.01,1.072,619.33,2024-04-30,14:59:52,-1.83,1.0719,23:50:03,0.00,1.0720,2024-04-30,证券公司,-1.74,2024-04-30,0,0,-,-
502,515860,科技ETF基金,-,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/515860/fundManager.shtml,Y,N,,,16488,,1.79,0.00,1.083,228.92,2024-04-30,14:54:49,-1.10,1.0831,23:50:03,-0.02,1.0832,2024-04-30,新兴科技100,-1.08,2024-04-30,0,0,-,-
503,515880,通信ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/515880,Y,N,,,275746,,32.79,0.78,1.189,26972.36,2024-04-30,14:59:59,-1.25,1.1905,23:50:03,-0.13,1.1905,2024-04-30,通信设备,-1.14,2024-04-30,0,0,-,-
504,515890,红利ETF博时,-,0.20,0.15,0.05,100.0,博时基金,https://www.bosera.com/fund/515890.html,Y,N,,,51044,,7.00,0.05,1.372,761.79,2024-04-30,14:56:53,0.22,1.3698,23:50:03,0.06,1.3712,2024-04-30,中证红利,0.08,2024-04-30,0,0,-,-
505,515900,央企创新驱动ETF,000861,0.20,0.15,0.05,100.0,博时基金,https://www.bosera.com/fund/515900.html,Y,N,,,388265,,53.66,-0.55,1.382,5116.99,2024-04-30,14:59:46,-1.29,1.3847,23:50:03,-0.20,1.3848,2024-04-30,央企创新,-1.15,2024-04-30,0,0,-,-
506,515910,质量ETF,-,0.35,0.30,0.05,300.0,中金基金,https://www.ciccfund.com/#/productdetail?fundcode=515910,N,N,,,47951,,2.52,0.00,0.525,460.73,2024-04-30,14:57:22,-0.94,-,09:43:35,-,0.5251,2024-04-30,A股质量,-,2024-04-29,0,0,-,-
507,515920,智能消费ETF,-,0.60,0.50,0.10,150.0,博时基金,https://www.bosera.com/fund/515920.html,Y,N,,,27591,,1.95,0.00,0.705,1010.80,2024-04-30,14:58:56,0.00,0.7059,23:50:03,-0.11,0.7058,2024-04-30,CS智消费,0.00,2024-04-30,0,0,-,-
508,515950,医药龙头ETF,-,0.60,0.50,0.10,200.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/515950/index.html,Y,N,,,90520,,8.11,-0.02,0.896,1844.27,2024-04-30,14:59:31,0.22,0.8959,23:50:03,0.00,0.8960,2024-04-30,医药50,0.09,2024-04-30,0,0,-,-
509,515960,医药健康ETF,-,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/515960/fundManager.shtml,Y,N,,,33099,,2.58,-0.02,0.779,582.91,2024-04-30,14:55:38,0.52,0.7789,23:50:03,0.01,0.7789,2024-04-30,医药健康100,0.42,2024-04-30,0,0,-,-
510,515980,人工智能ETF,-,0.60,0.50,0.10,100.0,华富基金,http://www.hffund.com/agate/jweb/#/fund?secondtype=515980&etfflag=1,Y,N,,,199106,,16.39,0.14,0.823,10369.39,2024-04-30,14:59:59,-0.48,0.8221,23:50:03,0.11,0.8221,2024-04-30,人工智能,-0.37,2024-04-30,0,0,-,-
511,515990,国企一带一路ETF,000859,0.20,0.15,0.05,100.0,汇添富,https://www.99fund.com/main/products/pofund/515990/fundgk.shtml,Y,N,,,9335,,1.17,0.00,1.251,353.62,2024-04-30,14:54:07,-0.16,1.2507,23:50:03,0.02,1.2507,2024-04-30,国企一带一路,-0.21,2024-04-30,0,0,-,-
512,516000,数据ETF,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/516000/index.shtml,Y,N,,,19786,,1.43,0.02,0.723,644.30,2024-04-30,14:59:33,-0.41,0.7203,23:50:03,0.36,0.7204,2024-04-30,中证数据,-0.78,2024-04-30,0,0,-,-
513,516010,游戏ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/516010,Y,N,,,248169,,23.43,0.38,0.944,10205.02,2024-04-30,14:59:59,-0.21,0.9426,23:50:03,0.15,0.9426,2024-04-30,动漫游戏,-0.34,2024-04-30,0,0,-,-
514,516020,化工ETF,-,0.60,0.50,0.10,50.0,华宝基金,https://www.fsfund.com/funds/516020/index.shtml,Y,N,,,71683,,4.57,0.07,0.637,2691.10,2024-04-30,14:59:51,-1.24,0.6362,23:50:03,0.13,0.6362,2024-04-30,细分化工,-1.12,2024-04-30,0,0,-,-
515,516050,科技龙头ETF,-,0.52,0.45,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/gykjltETF/index.html,Y,N,,,72223,,4.18,-0.03,0.579,566.55,2024-04-30,14:58:24,-1.03,0.5794,23:50:03,-0.07,0.5794,2024-04-30,科技龙头,-1.01,2024-04-30,0,0,-,-
516,516060,创新药产业ETF,-,0.52,0.45,0.07,100.0,工银瑞信,https://www.icbccs.com.cn/gyrx/jjcp/etf/gycxycyetf/index.html,Y,N,,,26124,,1.26,0.00,0.481,413.91,2024-04-30,14:59:45,-0.21,0.4820,23:50:03,-0.19,0.4819,2024-04-30,CS创新药,-0.01,2024-04-30,0,0,-,-
517,516070,碳中和50ETF,000977,0.20,0.15,0.05,100.0,易方达,https://www.efunds.com.cn/fund/516070.shtml,Y,N,,,72365,,3.08,-0.02,0.425,1203.87,2024-04-30,14:59:35,-0.93,0.4228,23:50:03,0.07,0.4247,2024-04-30,内地低碳,-1.43,2024-04-30,0,0,-,-
518,516080,创新药ETF易方达,-,0.20,0.15,0.05,100.0,易方达,https://www.efunds.com.cn/fund/516080.shtml,Y,N,,,52755,,2.81,0.03,0.533,639.57,2024-04-30,14:59:57,0.38,0.5314,23:50:03,0.28,0.5315,2024-04-30,CS创新药,-0.01,2024-04-30,0,0,-,-
519,516090,新能源ETF易方达,399808,0.20,0.15,0.05,100.0,易方达,https://www.efunds.com.cn/fund/516090.shtml,Y,N,,,215984,,8.08,-0.11,0.374,1998.47,2024-04-30,14:59:52,-1.84,0.3722,23:50:03,0.13,0.3735,2024-04-30,中证新能,-2.07,2024-04-30,0,0,-,-
520,516100,金融科技ETF华夏,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/516100/index.shtml,Y,N,,,5976,,0.45,0.00,0.745,104.64,2024-04-30,14:59:40,-1.72,0.7439,23:50:03,0.15,0.7439,2024-04-30,金融科技,-2.14,2024-04-30,0,0,-,-
521,516110,汽车ETF,-,0.60,0.50,0.10,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/516110,Y,N,,,107462,,11.75,0.03,1.093,8624.66,2024-04-30,14:59:54,-1.44,1.0932,23:50:03,-0.01,1.0931,2024-04-30,800汽车,-1.25,2024-04-30,0,0,-,-
522,516120,化工50ETF,-,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/516120/index.html,Y,N,,,31908,,2.06,-0.01,0.646,1062.90,2024-04-30,14:59:48,-0.77,0.6450,23:50:03,0.16,0.6450,2024-04-30,细分化工,-1.12,2024-04-30,0,0,-,-
523,516130,消费龙头ETF,-,0.60,0.50,0.10,50.0,华宝基金,https://www.fsfund.com/funds/510030/index.shtml,Y,N,,,8989,,0.70,-0.02,0.784,299.01,2024-04-30,14:55:14,0.26,0.7843,23:50:03,-0.04,0.7843,2024-04-30,消费龙头,0.40,2024-04-30,0,0,-,-
524,516150,稀土ETF基金,-,0.60,0.50,0.10,50.0,嘉实基金,https://www.jsfund.cn/main/fund/516150/fundManager.shtml,Y,N,,,173158,,16.10,0.00,0.930,2918.25,2024-04-30,14:59:59,-2.00,0.9290,23:50:03,0.10,0.9291,2024-04-30,稀土产业,-2.08,2024-04-30,0,0,-,-
525,516160,新能源ETF,399808,0.20,0.15,0.05,150.0,南方基金,https://www.nffund.com/main/nffund/personal-financing/detail.shtml?fundCode=516160,Y,N,,,938580,,56.41,-0.28,0.601,12503.89,2024-04-30,14:59:59,-1.96,0.5988,23:50:03,0.05,0.6007,2024-04-30,中证新能,-2.07,2024-04-30,0,0,-,-
526,516180,光伏ETF平安,-,0.60,0.50,0.10,100.0,平安基金,http://www.fund.pingan.com/main/peanutFinance/yingPeanut/fundDetailV2/516180.shtml,Y,N,,,12099,,0.80,0.01,0.659,505.62,2024-04-30,14:59:07,-2.08,0.6574,23:50:03,0.20,0.6577,2024-04-30,光伏产业,-2.40,2024-04-30,0,0,-,-
527,516190,文娱传媒ETF,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/516190/index.shtml,Y,N,,,1702,,0.15,0.00,0.889,203.03,2024-04-30,14:59:53,-1.77,0.8869,23:50:03,0.20,0.8872,2024-04-30,文娱传媒,-2.05,2024-04-30,0,0,-,-
528,516200,证券ETF指数基金,399975,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/516200/index.shtml,Y,N,,,41560,,3.51,-0.02,0.844,701.97,2024-04-30,14:55:18,-1.86,0.8427,23:50:03,0.14,0.8428,2024-04-30,证券公司,-1.74,2024-04-30,0,0,-,-
529,516210,银行ETF指数基金,399986,0.60,0.50,0.10,30.0,华安基金,https://www.huaan.com.cn/funds/516210/index.shtml,Y,N,,,19273,,2.00,0.00,1.036,1434.22,2024-04-30,14:58:19,0.39,1.0357,23:50:03,0.04,1.0356,2024-04-30,中证银行,0.47,2024-04-30,0,0,-,-
530,516220,化工龙头ETF,-,1.00,0.50,0.50,100.0,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/516220,Y,N,,,25317,,1.70,-0.01,0.671,1684.75,2024-04-30,14:59:01,-1.18,0.6713,23:50:03,-0.04,0.6713,2024-04-30,细分化工,-1.12,2024-04-30,0,0,-,-
531,516260,物联网50ETF,-,0.60,0.50,0.10,200.0,华夏基金,https://www.chinaamc.com/fund/516260/index.shtml,Y,N,,,14388,,1.03,0.00,0.713,287.43,2024-04-30,14:53:24,0.00,0.7113,23:50:03,0.24,0.7113,2024-04-30,CS物联网,-0.47,2024-04-30,0,0,-,-
532,516270,新能源50ETF,-,0.60,0.50,0.10,150.0,华安基金,https://www.huaan.com.cn/funds/516270/index.shtml,Y,N,,,54891,,2.51,-0.04,0.457,760.42,2024-04-30,14:58:01,-1.72,0.4544,23:50:03,0.09,0.4566,2024-04-30,新能源,-2.42,2024-04-30,0,0,-,-
533,516290,光伏龙头ETF,-,0.20,0.15,0.05,200.0,汇添富,https://www.99fund.com/main/products/pofund/516290/fundgk.shtml,Y,N,,,35520,,1.75,0.00,0.492,363.14,2024-04-30,14:59:54,-1.80,0.4911,23:50:03,0.18,0.4911,2024-04-30,光伏产业,-2.40,2024-04-30,0,0,-,-
534,516300,中证1000指数ETF,000852,0.60,0.50,0.10,300.0,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/516300/index.html,Y,N,,,13660,,1.24,0.00,0.907,805.00,2024-04-30,14:59:46,-1.09,0.9074,23:50:03,-0.07,0.9076,2024-04-30,中证1000,-0.86,2024-04-30,0,0,-,-
535,516310,银行ETF易方达,399986,0.20,0.15,0.05,30.0,易方达,https://www.efunds.com.cn/fund/516310.shtml,Y,N,,,11036,,1.09,-0.01,0.990,1051.55,2024-04-30,14:59:58,0.51,0.9886,23:50:03,0.15,0.9885,2024-04-30,中证银行,0.47,2024-04-30,0,0,-,-
536,516320,高端装备ETF,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/516320/index.shtml,Y,N,,,9059,,0.63,0.00,0.700,105.27,2024-04-30,14:57:07,-0.99,0.6963,23:50:03,0.23,0.6984,2024-04-30,装备产业,-1.60,2024-04-30,0,0,-,-
