,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
277,红利ETF博时,515890,1.372,10022,10016,策略，红利,0.20%,博时基金,2020-04-20,中证红利指数,1086.49,10201,11073,10677,12591,10000,6.66
278,工业有色ETF,560860,0.847,9941,10027,行业，资源，有色金属,0.60%,万家基金,2023-03-13,工业有色指数,2453.41,10267,10845,9049,10000,10000,2.46
279,港股医药ETF,159718,0.551,9822,10025,跨境，香港，医药,0.60%,平安基金,2021-12-28,HKC医药C人民币指数,2340.09,9964,8020,6528,10000,10000,1.83
280,港股国企ETF,159519,1.147,9974,10000,跨境，香港，国企,0.65%,国泰基金,2023-08-31,内地国有港元指数,2112.51,10780,11668,10000,10000,10000,0.778
281,标普500ETF,159612,1.389,9993,10000,跨境，美国,0.75%,国泰基金,2022-05-20,标准普尔500指数,1173.08,9507,10903,13006,10000,10000,3.76
282,科创创业指数ETF,588400,0.486,9878,10023,宽基，中小盘,0.60%,嘉实基金,2021-07-05,科创创业50指数,2469.2,10146,9681,7954,10000,10000,16.52
283,集成电路ETF,159546,0.849,9918,10013,行业，半导体，芯片,0.60%,国泰基金,2023-10-20,集成电路指数,1284.62,10012,8576,10000,10000,10000,0.444
284,港股创新药ETF,159567,0.844,9860,10000,跨境，香港，医药,0.60%,银华基金,2024-01-11,港股通创新药指数,6436.01,10012,10000,10000,10000,10000,1.38
285,消费ETF龙头,560680,0.959,10010,9998,行业，消费,0.60%,广发基金,2022-10-31,中证消费指数,1472.85,10170,10257,8734,10000,10000,0.516
286,中证500指数ETF,512510,1.494,9940,9996,宽基，中小盘,0.20%,华泰柏瑞基金,2015-06-12,中证500指数,1701.08,10296,10074,8995,9474,13339,5.68
287,科创100ETF,588190,0.825,9928,9989,宽基，中小盘，科创板,0.60%,银华基金,2023-09-15,科创100指数,14482.15,10248,8462,10000,10000,10000,18.3
288,国防军工ETF,512810,1.019,9855,10006,行业，军工,0.60%,华宝基金,2016-08-22,中证军工指数,4787.76,9864,9297,8291,9523,14192,4.91
289,中证800ETF,515810,1.145,9965,10013,宽基，综合,0.20%,易方达基金,2019-10-25,中证800指数,1268.88,10251,10438,9294,8046,10000,1.94
290,沪深300ETF泰康,515380,3.934,9949,10003,宽基，大盘股,0.45%,泰康资产,2020-03-23,沪深300指数,5132.9,10208,10519,9185,7449,10000,35.43
291,金融ETF,510230,1.025,9951,10001,行业，金融,0.60%,国泰基金,2011-05-23,180金融指数,3013.21,10322,10858,10128,8975,9255,33.89
292,央企现代能源ETF,561790,1.095,10046,10005,行业，资源，能源,0.60%,博时基金,2023-08-09,央企现代能源指数,1609.16,10224,11674,10000,10000,10000,1.05
293,地产ETF,159707,0.563,9608,9999,行业，金融，房地产,0.60%,华宝基金,2021-11-12,800地产指数,4569.8,9526,8824,6569,10000,10000,2.53
294,银行ETF易方达,516310,0.99,10051,10014,行业，金融，银行,0.20%,易方达基金,2021-05-28,中证银行指数,1338.48,10510,11716,11212,10000,10000,1.19
