,name,code,index_name,index_id,市盈率,市盈率百分位
295,畜牧ETF,159867,中证畜牧,930707.CSI,396.86,0.9966216216216216
296,旅游ETF,159766,中证旅游,930633.CSI,251.77,0.9993141289437586
297,旅游ETF,562510,中证旅游,930633.CSI,251.77,0.9993141289437586
298,有色金属ETF,512400,金属指数,CN6052,22.9777,
299,酒ETF,512690,中证酒指数,399987,29.63,
300,红利ETF,510880,红利指数,000015,6.36,
301,有色ETF,159980,金属指数,CN6052,22.9777,
302,能源ETF,159930,中证能源,000928,10.01,
303,汽车ETF,516110,汽车指数,CN6055,21.8674,
304,新能车ETF,515700,新能源车,399417,17.3011,
305,房地产ETF,512200,地产指数,399241,8.4807,
306,中证A50ETF,563350,中证A50,930050.CSI,16.51,
307,国防ETF,512670,中证国防指数,399973,32.32,
308,科创100ETF基金,588220,科创100,000698,30.76,
309,科创芯片ETF,588200,科创芯片,000685.SH,110.59,
310,中证A50ETF指数基金,560350,中证A50,930050.CSI,16.51,
311,科创新材料ETF,588010,科创材料,000689,20.26,
312,油气ETF,159697,国证油气,399439,12.885,
313,资源ETF,510410,上证资源,000068,11.31,
314,中证2000ETF,563300,中证2000,932000.CSI,62.33,
315,中证A50指数ETF,159593,中证A50,930050.CSI,16.51,
316,中证2000ETF,159531,中证2000,932000.CSI,62.33,
317,新能源汽车ETF,516390,新能源车,399417,17.3011,
318,A股ETF,563330,A股指数,000002,12.1,
319,2000增强ETF,159555,中证2000,932000.CSI,62.33,
320,创业板200ETF华夏,159573,创业200,399019,33.4203,
321,汽车ETF,159512,汽车指数,CN6055,21.8674,
322,科创100指数ETF,588030,科创100,000698,30.76,
323,食品饮料ETF,159843,国证食品,399396,25.6439,
324,央企红利ETF,561580,红利指数,000015,6.36,
325,证券ETF龙头,159993,证券龙头,399437,18.8718,
326,科创100ETF华夏,588800,科创100,000698,30.76,
327,深证50ETF富国,159350,深证50,399850,19.5467,
328,房地产ETF,159768,地产指数,399241,8.4807,
329,消费ETF,510150,消费80,000069,25.97,
330,港股通央企红利ETF,513920,红利指数,000015,6.36,
331,生物医药ETF,159859,生物医药,399441,20.3326,
332,生物药ETF,159839,生物医药,399441,20.3326,
333,金融地产ETF,510650,金融指数,399240,10.638,
334,房地产ETF华夏,515060,地产指数,399241,8.4807,
335,创业大盘ETF,159814,创业大盘,399293,25.4576,
336,工业有色ETF,560860,有色指数,CN6051,11.5952,
337,港股创新药ETF,159567,港股通创新药,987018,,
338,科创100ETF,588190,科创100,000698,30.76,
339,地产ETF,159707,地产指数,399241,8.4807,
340,港股通50ETF,513550,港股通50,987003,,
341,中证A50ETF,159591,中证A50,930050.CSI,16.51,
342,科创信息技术ETF,588100,科创信息,000682,56.62,
343,中证A50ETF基金,159595,中证A50,930050.CSI,16.51,
344,A50ETF基金,159592,中证A50,930050.CSI,16.51,
345,A50ETF华宝,159596,中证A50,930050.CSI,16.51,
346,科创板100ETF,588120,科创100,000698,30.76,
347,中证A50ETF易方达,563080,中证A50,930050.CSI,16.51,
348,港股通科技30ETF,159636,港股通科技,987008,,
349,中证A50指数ETF,562890,中证A50,930050.CSI,16.51,
350,中证A50ETF基金,561230,中证A50,930050.CSI,16.51,
351,科创芯片ETF基金,588290,科创芯片,000685.SH,110.59,
352,创业板ETF天弘,159977,创业板R,399606,26.1403,
353,科创100ETF南方,588900,科创100,000698,30.76,
354,科创100ETF指数,588880,科创100,000698,30.76,
355,香港科技ETF,159747,港股科技,987006,,
356,科创芯片ETF南方,588890,科创芯片,000685.SH,110.59,
357,电信ETF基金,560690,中证电信,000936,25.06,
358,港股通创新药ETF,159570,港股通创新药,987018,,
359,深证50ETF易方达,159150,深证50,399850,19.5467,
360,中证2000ETF添富,159536,中证2000,932000.CSI,62.33,
361,香港科技50ETF,159750,港股科技,987006,,
362,2000ETF增强,159553,中证2000,932000.CSI,62.33,
363,医药50ETF,512120,医药指数,CN6046,22.1845,
364,交运ETF,159662,国证交运,399433,12.436,
365,财富管理ETF,159503,财富管理,CN5074,8.3132,
