,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
827,CN2279,云科技50R,50,2887.5445,-0.0065,34.0269,22454.22782,463.30832690230005,24741.497948642,14737.9793193206
828,CN2280,生物50R,50,2373.1124,-0.0052,24.1819,6616.53812,116.8699311491,11882.454422808101,4967.985112283401
829,CN2281,电子50R,50,2768.8626,-0.0079,29.3016,20696.83358,232.4270261197,14357.9887148055,8011.9019760571
830,CN2282,大数据50R,50,3703.9026,-0.0071,35.8875,15271.9286,267.7690280523,9946.6727294694,6025.1176241425
831,CN2283,机器人50R,50,3090.99,-0.005,21.71,12526.15856,204.9794386611,13176.076253231102,5156.9320346101
832,CN2284,AI 50R,50,2985.4008,-0.0075,33.9344,15801.34301,305.1868654803,14887.042805814199,8364.0799019161
833,CN2285,物联网50R,50,3910.1564,-0.0058,26.7369,17194.37572,422.6479249723,27789.944513862403,15761.583779492099
834,CN2286,区块链50R,50,2975.3586,-0.0047,15.1664,23760.34257,280.80091654299997,19325.2873783222,9119.925065121999
835,CN2291,创精选88R,88,3294.8798,-0.006,34.1256,14023.01009,190.573405945,9964.6599493975,5220.8331573663
836,CN2292,民企发展R,500,944.7919,-0.0086,22.682,66048.038,503.46154678370004,16940.057829613703,8197.3304080995
837,CN2293,创业大盘R,50,3731.5165,-0.0107,25.4576,9134.12648,384.4373171388,37624.1888169785,18894.298950043
838,CN2294,中小创Q R,50,2866.0052,-0.009,16.0029,16939.28095,316.178803108,36528.8274044144,17552.9596294347
839,CN2295,创价值R,50,4461.522,-0.0061,24.8205,8183.34989,292.590775948,31615.2288669716,8158.9135085472
840,CN2296,创成长R,50,4466.7364,-0.0103,29.2105,11167.57316,396.9781552902,31810.269206552202,7734.0639033987
841,CN2297,新浪100R,100,4774.8624,0.0002,15.7251,22370.06302,162.7593667658,8460.247444945699,915.4029179160001
842,CN2303,国证2000R,2000,7628.7713,-0.0066,23.454,313861.45802,3091.368241753,134567.0634750953,66980.2289995474
843,CN2311,国证1000R,1000,4509.4673,-0.0054,13.3958,422698.09889,5316.5736542169,567624.48589197,241180.0010459219
844,CN2312,国证300R,300,5029.5764,-0.0055,13.65,171481.70928,2835.8009534874,373007.4639036238,152020.9905851662
845,CN2313,巨潮100R,100,5584.5038,-0.0036,11.2189,91690.46381,1449.0917050658,285982.1692955146,106999.7037633341
846,CN2314,巨潮大盘R,200,4990.0092,-0.0054,11.6458,154223.92661,2258.4005478439003,363599.77444968175,143136.0238433953
847,CN2315,巨潮中盘R,300,3988.8057,-0.002,17.714,111854.72376,1503.0452319884,112999.2475526598,53029.7460493991
848,CN2316,巨潮小盘R,500,4877.8204,-0.0092,20.1915,156619.44852,1555.1278743845999,91025.4638896285,45014.2311531275
849,CN2319,资源优势R,100,2984.9916,-0.0016,13.2381,52063.70133,517.4364870187001,70626.5590076948,21976.9172459294
850,CN2320,国证服务R,100,2543.6612,0.0053,17.0063,50369.75941,369.9057676038,53782.857688288495,18384.5267443911
