,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
648,480043,工业金属R,50,1991.4111,0.0442,19.3891,42838.39233,358.29413330410006,13694.351018233001,5261.9021135099
649,480046,文化创意R,100,1695.9401,-0.0132,,36858.71819,377.6813661168,41762.6397157371,10459.500127511701
650,480047,文化创意R（港币）,100,1480.3195,-0.013,,36858.71819,408.6204343965,45183.585135563895,11316.3213984215
651,480048,国证建材R,30,5936.4525,-0.0026,14.4958,4193.22573,37.9463754938,5629.4568914844995,2532.712632985
652,480052,绿色金融R,50,1760.8822,-0.0049,,19842.48696,126.7981856709,43163.1426642168,428.6543526014
653,480053,绿色金融R（港币）,50,1552.743,-0.0048,,19842.48696,137.1848171244,46698.7742215588,463.76710188839996
654,480055,规模因子R,50,1619.3114,-0.0067,12.1121,13754.30461,201.2729111167,25909.7334396242,617.2911306683001
655,480056,价值因子R,50,2568.7533,-0.0011,16.0989,8968.42871,216.951518233,36701.3441475804,697.9859827755
656,480057,动量因子R,50,1900.6215,-0.0194,18.9203,12582.97428,307.8213514933,19454.0845064979,497.2490293025
657,480058,绿色治理R,100,1184.2577,-0.0023,16.6648,46968.3979,618.4584115396,74951.4661143631,42102.7921123483
658,480059,航空出行R,80,1464.8392,-0.0142,25.2414,14486.02465,144.1279174612,12290.6747063773,1330.1360710982
659,480065,帮扶100R,100,2073.9115,-0.0038,11.0274,61158.89172,1039.1989491148,275920.1819760237,102237.7687394166
660,480068,蓝色100R,100,2886.0104,-0.0042,,15494.1848,159.6525837028,17639.1705683401,380.9519704473
661,480069,蓝色100R(港币),100,2519.0588,-0.0041,,15494.1848,172.7310308203,19084.055750414598,412.1583456297
662,480071,机器人龙头R,50,1916.945,-0.013,30.2883,7283.03839,162.5168625927,10547.307827019,4252.7946558628
663,480532,国证青岛海洋R,0,1252.1465,-0.0004,15.4561,3488.36933,39.5199896788,4530.9256267936,253.6093304769
664,483001,内地100R,100,1824.2461,-0.0086,,40199.9999,805.6662827306,196663.30437971372,51063.2095035963
665,483002,内地100R(港币),100,1612.1923,-0.0085,,40199.9999,871.6639368057,212772.9741764495,55246.09547446809
666,483003,内地科技50R,50,2058.5892,-0.0137,,25972.48075,492.03738922819997,88041.4812359852,39602.2156605467
667,483004,内地科技50R(港币),50,1819.2913,-0.0135,,25972.48075,532.3434209994,95253.33845144631,42846.233456095
668,483005,深港通综指R,0,5183.3533,-0.008,,432470.25631,4646.0302366568,487344.27738579456,257999.8856848405
669,483006,深港通综指R(港币),0,4989.5683,-0.0079,,432470.25631,5026.6276034817,527265.6017568684,279134.1863580066
670,483007,深港通100R,100,5956.2737,-0.0077,,41293.7772,846.7782616904,224293.1070086729,84144.236892607
671,483008,深港通100R(港币),100,5735.0341,-0.0076,,41293.7772,916.1434645469001,242665.9996602989,91036.9818529002
672,483009,深港通手机产业链R,50,3058.6858,-0.0114,,28237.81099,386.211450966,29186.786448632003,16090.740104613898
673,483010,深港通手机产业链R(港币),50,2696.7021,-0.0112,,28237.81099,417.84928537080003,31577.692681841098,17408.8534642461
674,483011,深港通绿色优选R,100,2279.5606,-0.0056,,43807.83486,469.6952465807,130110.169007059,64369.6284348618
675,483012,深港通绿色优选R(港币),100,2004.9172,-0.0055,,43807.83486,508.17158786010003,140768.1604952887,69642.4848969792
