,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
454,科创创业50ETF,159783,0.607,10017,9981,宽基，中小盘,0.20%,华夏基金,2021-07-05,科创创业50指数,9870.9,11016,10649,13196,8236,10000,49.17
455,港股创新药50ETF,513780,1.073,10000,10000,跨境，香港，医疗,0.60%,景顺长城基金,2024-10-25,港股通创新药指数,7999.25,11600,11403,10000,10000,10000,1.24
456,上证180指数ETF基金,530680,1.007,10000,10010,宽基，大盘股,0.20%,兴业基金,2025-01-08,上证180指数,7783.41,10265,10000,10000,10000,10000,12.59
457,A500ETF永赢,159386,1.012,10000,10001,宽基，中小盘,0.20%,永赢基金,2025-02-11,中证A500指数,7434.72,10000,10000,10000,10000,10000,5.08
458,科创新能源ETF,588830,1.161,10026,10029,行业，新能源，科创板,0.60%,鹏华基金,2024-08-09,科创新能指数,7067.09,10881,10122,10000,10000,10000,3.64
459,香港消费ETF,513590,0.958,10191,10000,跨境，香港，消费,0.60%,鹏华基金,2021-08-19,HKC消费港元指数,6920.42,12266,12251,16293,12251,10000,2.03
460,证券ETF基金,512900,1.102,9964,10015,行业，金融，证券,0.60%,南方基金,2017-03-31,证券公司指数,6822.84,10261,9516,12396,10857,10556,72.51
461,港股通医药ETF,159776,0.898,9967,10017,跨境，香港，医药,0.60%,银华基金,2022-03-25,HKC医药C人民币指数,6671.03,11617,11513,11469,10000,10000,1.2
462,银行ETF天弘,515290,1.322,10092,9992,行业，金融，银行,0.60%,天弘基金,2020-12-28,中证银行指数,6373.64,9866,9977,12823,12724,10000,39.21
463,沪深300ETF鹏华,159673,1.048,9990,9985,宽基，大盘股,0.20%,鹏华基金,2023-07-17,沪深300指数,6057.87,10244,9953,11670,10000,10000,43.48
464,300ETF,159300,4.016,9978,10000,宽基，大盘股,0.20%,富国基金,2024-06-05,沪深300指数,5959.65,10261,9955,10000,10000,10000,27.65
465,中证A50ETF,159591,1.139,10000,10003,宽基，大盘,0.20%,富国基金,2024-03-18,中证A50指数,5523.88,10298,10018,10000,10000,10000,17.91
466,医疗器械ETF,159883,0.499,9980,9995,行业，医药，医疗器械,0.60%,永赢基金,2021-04-30,医疗器械指数,5436.15,10778,10267,9523,6892,10000,17.23
467,港股通金融ETF,513190,1.464,10195,10000,跨境，香港，金融,0.60%,华夏基金,2023-10-11,港股通内地金融港元指数,5381.47,10570,10694,14893,10000,10000,2.79
468,军工ETF龙头,512680,1.064,9991,9994,行业，军工,0.60%,广发基金,2016-10-14,中证军工指数,5315.43,10598,9963,12105,8319,11770,36.38
469,中证500ETF基金,510510,1.871,10000,9996,宽基，中小盘,0.60%,广发基金,2013-05-24,中证500指数,5293.06,10704,10441,11738,9194,11117,22.18
470,创业板50ETF嘉实,159373,1.048,10000,9981,宽基，中小盘,0.20%,嘉实基金,2025-02-10,创业板50指数,5343.86,10000,10000,10000,10000,10000,5.12
471,创业板100ETF华夏,159957,1.441,9938,9993,宽基，中小盘,0.20%,华夏基金,2018-01-04,创业板指,5190.22,10754,10382,12855,8037,10770,21.42
472,稀土ETF,159713,0.797,9987,10000,主题，稀土,0.60%,富国基金,2021-08-16,稀土产业指数,5154.19,10655,10888,13109,8026,10000,3.29
